"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-08","0.00","76","34"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-09","0.00","85","41"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-10","0.00","88","43"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-11","0.00","83","43"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-12","0.00","83","46"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-13","0.00","75","47"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-14","0.00","63","42"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-15","0.00","83","50"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-16","0.00","85","48"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-17","0.00","87","48"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-18","0.00","83","42"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-19","0.00","81","43"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-20","0.00","82","39"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-21","0.00","82","40"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-22","0.00","83","42"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-23","0.00","87","44"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-24","0.00","87","41"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-25","0.00","77","35"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-26","0.00","76","35"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-27","0.00","74","40"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-28","0.00","76","34"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-29","0.00","82","39"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-30","0.00","73","36"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-31","0.00","65","48"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-01","0.00","64","36"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-02","0.00","63","29"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-03","0.00","66","33"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-04","0.00","66","33"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-05","0.00","75","37"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-06","0.00","76","36"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-07","0.00","76","31"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-08","0.00","75","30"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-09","0.00","75","29"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-10","0.00","63","31"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-11","0.03","68","37"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-12","0.00","60","38"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-13","0.00","73","31"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-14","0.00","72","28"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-15","0.00","69","30"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-16","0.00","67","30"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-17","0.00","68","35"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-18","0.00","65","32"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-19","0.00","73","37"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-20","0.00","75","42"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-21","0.00","75","38"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-22","0.00","77","38"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-23","0.00","81","41"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-24","0.00","91","43"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-25","0.00","91","48"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-26","0.00","80","43"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-27","0.00","72","40"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-28","0.00","76","49"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-29","0.12","65","49"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-30","0.00","62","42"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-01-31","0.00","61","31"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-01","0.00","65","28"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-02","0.00","65","27"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-03","0.00","74","31"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-04","0.00","73","34"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-05","0.00","81","38"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-06","0.00","85","45"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-07","0.00","86","44"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-08","0.00","82","45"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-09","0.00","91","49"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-10","0.00","88","48"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-11","0.00","86","50"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-12","0.00","75","58"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-13","0.00","79","49"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-14","0.00","73","45"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-15","0.00","71","33"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-16","0.00","70","40"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1951-02-17","0.00","76","42"
